address,LATITUDE,LONGITUDE
148 WOODLANDS ST 13,1.43576275,103.77403
426 CLEMENTI AVE 3,1.311580406,103.7642113
85 CIRCUIT RD,1.322652411,103.8857553
467 TAMPINES ST 44,1.359968527,103.9546659
367 CORPORATION DR,1.337697823,103.7191457
159 YUNG PING RD,1.329285993,103.7223857
518 CHOA CHU KANG ST 51,1.390768865,103.742554
918 JURONG WEST ST 91,1.340579375,103.6871707
682A EDGEDALE PLAINS,1.403547749,103.9162913
416 ANG MO KIO AVE 10,1.364541709,103.8551037
415 SEMBAWANG DR,1.451626317,103.818573
204 TOA PAYOH NTH,1.34148414,103.8490677
175 BISHAN ST 13,1.348960622,103.853736
333B YISHUN ST 31,1.431957833,103.8453791
19 CHAI CHEE RD,1.32723389,103.9222175
422 CANBERRA RD,1.453436687,103.8184495
472 CHOA CHU KANG AVE 3,1.379085441,103.7375424
2 LOR 7 TOA PAYOH,1.338607526,103.8535156
688C CHOA CHU KANG CRES,1.403187013,103.7509933
427 HOUGANG AVE 6,1.374470806,103.8930911
186 BOON LAY AVE,1.345727283,103.7110274
100 COMMONWEALTH CRES,1.307705276,103.8012725
304 WOODLANDS ST 31,1.42989256,103.7738539
44 OWEN RD,1.31551163,103.8503779
58 STRATHMORE AVE,1.29308496,103.8107889
302C PUNGGOL PL,1.404720474,103.9049679
246 TAMPINES ST 21,1.353225498,103.9472322
119D RIVERVALE DR,1.38530593,103.9036099
204 SERANGOON CTRL,1.352438279,103.8732981
935 YISHUN CTRL 1,1.425180059,103.8365963
230 PENDING RD,1.376166612,103.7722071
704 BEDOK RESERVOIR RD,1.336354906,103.9202036
710 ANG MO KIO AVE 8,1.371045831,103.8481868
768 YISHUN AVE 3,1.424361513,103.8339403
334C ANCHORVALE CRES,1.397422227,103.8897039
449 PASIR RIS DR 6,1.370842121,103.9583507
208A CLEMENTI AVE 6,1.321923429,103.7623848
423 FAJAR RD,1.385396994,103.7692111
652A JURONG WEST ST 61,1.336679135,103.6983332
311 JURONG EAST ST 32,1.347666576,103.7325787
329 TAMPINES ST 32,1.353355521,103.9587286
418 CHOA CHU KANG AVE 4,1.382373008,103.7413523
491E TAMPINES ST 45,1.362498954,103.9552513
144 JLN BT MERAH,1.277305432,103.8299556
