address,LATITUDE,LONGITUDE
100 AM,1.27468281482263,103.843488359469
313@Somerset,1.30101436404056,103.838360664485
321 Clementi,1.31200212030821,103.764986676365
888 Plaza,1.43712301500434,103.795314383823
Admiralty Place,1.43963261801972,103.802121646793
Alexandra Central,1.28728320930592,103.805283367958
Alexandra Retail Centre,1.27414893629254,103.801399416665
AMK Hub,1.36938922690344,103.84847796594
Anchorpoint,1.28893477974497,103.805607779399
Aperia,1.31086672816827,103.863929573292
Balestier Hill Shopping Centre,1.32574173430776,103.843034351562
Beauty World Centre,1.34241264188642,103.776539385406
Beauty World Plaza,1.34180018619223,103.776259359854
Bedok Mall,1.32473632784728,103.929256259998
Bedok Point,1.33054849915481,103.947778439395
Boon Lay Shopping Centre,1.34633552457315,103.712430373455
Broadway Plaza,1.37193729131781,103.845949444498
Buangkok Square,1.38433426615655,103.881623070164
Bugis Cube,1.2981408343975,103.855635339249
Bugis Junction,1.30011789343093,103.856191571652
Bugis+,1.30095171530648,103.855172625542
Bukit Panjang Plaza,1.37992045176243,103.764357180314
Bukit Timah Plaza,1.33875930729064,103.778600077834
Canberra Plaza,1.44349544527985,103.830345369213
Capitol Piazza,1.29307884763132,103.851261982149
Cathay Cineleisure Orchard,1.30152101873533,103.836429655016
Causeway Point,1.4360700650803,103.785981524253
Century Square,1.35236829566862,103.943812302253
Changi City Point,1.33403637902708,103.962917615531
City Gate,1.30231590504573,103.862331661034
City Plaza,1.3147868971977,103.893472115119
City Square Mall,1.31142103107683,103.856624019991
CityLink Mall,1.2927777312893,103.854173501417
Compass One,1.39205314156706,103.89507054384
Djitsun Mall,1.32611970329469,103.929554495615
Djitsun Mall Bedok,1.32611970329469,103.929554495615
Downtown East,1.37691412455433,103.955036748549
Duo,1.29953434891664,103.85840168774
Eastpoint Mall,1.34270592355576,103.953024618234
Elias Mall,1.37860239771677,103.941978174681
Fairprice Hub,1.32561767765205,103.678409741897
Fajar Shopping Centre,1.38400582466296,103.771029603101
Far East Plaza,1.30717698071189,103.833792932243
Funan,1.29134759697794,103.849989790085
Gek Poh Shopping Centre,1.34874357136408,103.697732091001
GR.iD,1.30010826723486,103.849264127911
Grantral Mall,1.31427043922294,103.765147487482
Great World City,1.29342272650003,103.832022146655
Greenridge Shopping Centre,1.38540569283271,103.766228468185
Greenwich V,1.38739539397015,103.869135978173
HarbourFront Centre,1.26396991176004,103.820243325181
HDB Hub,1.33205485190481,103.848507643079
Heartland Mall,1.35954177325561,103.885167372726
Hillion Mall,1.37843100827586,103.762842789877
HillV2,1.36267450828024,103.76417292006
Holland Piazza,1.31067976097165,103.795260908624
Holland Road Shopping Centre,1.31027747574118,103.795371163103
