address,mrt,mrt_dist,num_mrt_1km,mall,mall_dist,num_mall_1km,supermarket,supermarket_dist,num_supermarket_1km,hawker_dist,num_hawker_1km,park_dist,num_park_1km,school,school_dist,num_school_1km,number_school_btw_1km_2km,cityhall_dist
148 WOODLANDS ST 13,MARSILING MRT STATION,0.3592459429829954,1,Marsiling Mall,0.6959393700115175,1,730182,0.23165833676202954,5,0.685466569402396,2,0.5008096024425954,2,738927,0.21702985485939982,2,5,18.00042605437349
426 CLEMENTI AVE 3,CLEMENTI MRT STATION,0.3928514174480993,1,321 Clementi,0.09808549809139736,4,120451,0.17246620230707396,8,0.18867247456458017,5,0.31887342265583796,5,129903,0.4029969701460377,4,0,9.982797281424165
85 CIRCUIT RD,MATTAR MRT STATION,0.5448959854391184,6,Paya Lebar Square,0.8700950688589213,1,380114,0.1561629688790466,8,0.09451181696151176,5,0.2333525909612948,2,387724,0.49828119984906327,3,3,4.973693114269248
467 TAMPINES ST 44,TAMPINES EAST MRT STATION,0.4177096746507946,1,Loyang Point,1.3176063423222597,0,520475,0.1754111148283807,5,1.5286114024108768,0,0.7951315506505445,1,529565,0.6587748781795301,3,8,13.604509118929828
367 CORPORATION DR,LAKESIDE MRT STATION,0.7537065329052235,1,Taman Jurong Shopping Centre,0.3478189517674268,1,610399,0.31912261136085923,2,0.43348959413417154,1,0.2694950438646761,2,618310,0.13018346178896073,2,5,15.586738267982142
159 YUNG PING RD,LAKESIDE MRT STATION,1.6630382486683348,0,Taman Jurong Shopping Centre,0.6508877296797119,1,610063,0.3255466069607319,4,0.5943504646574287,1,1.2306837792580905,0,618310,1.0959009191420492,0,5,14.970437600848086
518 CHOA CHU KANG ST 51,CHOA CHU KANG MRT STATION,0.6310230382606054,3,Limbang Shopping Centre,0.19899102875550617,4,680533,0.15655478036317827,4,2.1204739257221474,0,0.678273083550081,2,689285,0.44147690537804246,2,6,16.27681425860066
918 JURONG WEST ST 91,PIONEER MRT STATION,1.1811025133569193,0,Pioneer Mall,1.1201345917267054,0,640962,0.5019812110848371,3,1.1408957150217998,0,0.7238773541831356,1,649037,0.20459828741000938,2,5,19.08127347467489
682A EDGEDALE PLAINS,OASIS LRT STATION,0.4229119313100505,4,Oasis Terraces,0.35270371082279295,1,821660,0.10547326349334409,7,1.3769668211771313,0,0.17564293379878157,1,828802,0.4804789819527068,4,6,14.148470009310083
416 ANG MO KIO AVE 10,ANG MO KIO MRT STATION,0.8584432863302737,1,AMK Hub,0.9116017494012296,1,560574,0.7170492154579001,4,0.19813549083135099,4,0.8551654087390216,2,569299,0.47180167010162255,3,6,7.901788493631161
