blank,latitude,longitude
,1.34618,103.96086
,1.3899,103.97898
,1.40991,103.92313
,1.37924,103.86697
,1.37276,103.82907
,1.32071,103.95175
,1.34066,103.95519
,1.36694,103.88161
,1.3901,103.83428
,1.3811,103.86115
,1.35335,103.86347
,1.36048,103.86601
,1.38786,103.86339
,1.38984,103.83723
,1.39006,103.83859
,1.33385,103.94694
,1.37163,103.83279
,1.32302,103.91918
,1.34503,103.88484
,1.36603,103.8775
,1.36043,103.86567
,1.36956,103.89282
,1.38863,103.83838
,1.36195,103.9662
,1.35955,103.96855
,1.37869,103.83262
,1.35556,103.88411
,1.34856,103.86201
,1.31919,103.94859
,1.38529,103.83706
,1.38308,103.86684
,1.35759,103.86745
,1.37021,103.86536
,1.3156,103.92431
,1.3856,103.87338
,1.35334,103.88088
,1.30245,103.863
,1.35014,103.84596
,1.3049,103.90813
,1.33443,103.87734
,1.34895,103.84036
,1.34262,103.86311
,1.33428,103.76576
,1.36212,103.83354
,1.33344,103.76999
,1.33474,103.76725
,1.31755,103.7487
,1.3532,103.77403
,1.29494,103.79283
,1.3398,103.71716
,1.35177,103.70105
,1.3706,103.76467
,1.35864,103.75902
,1.35536,103.76103
,1.32679,103.76641
,1.33606,103.73116
,1.301,103.79063
,1.30875,103.76476
,1.37136,103.76892
,1.3502,103.77601
,1.31977,103.75798
,1.33983,103.76091
,1.36042,103.76096
,1.36271,103.77391
,1.36763,103.76883
,1.32769,103.76478
,1.37229,103.75198
,1.31556,103.75636
,1.36064,103.75861
,1.30558,103.78916
,1.33802,103.70788
,1.3225,103.75767
,1.31425,103.75845
,1.35424,103.69864
,1.38955,103.75141
,1.34754,103.76547
,1.36927,103.77336
,1.39975,103.80572
,1.40003,103.81845
,1.40087,103.82238
,1.27988,103.80483
,1.28762,103.82403
,1.29893,103.76762
,1.30899,103.76203
,1.29615,103.763
,1.29961,103.79072
,1.37225,103.7695
,1.35741,103.76854
,1.38914,103.74843
,1.37164,103.76364
,1.30781,103.76361
,1.32795,103.76887
,1.37322,103.77188
,1.37589,103.75724
,1.34007,103.71859
,1.30611,103.78803
,1.33748,103.6929
,1.35736,103.75607
,1.35758,103.76078
,1.36407,103.88128
,1.35277,103.86174
,1.45064,103.82949
,1.44435,103.73383
,1.4615,103.83685
,1.39945,103.88433
,1.40558,103.82272
,1.411,103.90481
,1.42754,103.82612
,1.40116,103.81747
,1.43881,103.74006
,1.45622,103.83567
,1.36003,103.82695
,1.37694,103.89865
,1.40997,103.83217
,1.39804,103.82232
,1.44417,103.78206
,1.4276,103.83949
,1.41651,103.75904
,1.42728,103.82535
,1.42438,103.84261
,1.36907,103.8263
,1.40223,103.91541
,1.43763,103.76993
,1.40869,103.96542
,1.28435,103.79032
,1.21406,103.83481
,1.27885,103.81055
,1.27863,103.80148
,1.28424,103.85133
,1.28664,103.84658
,1.30573,103.8833
,1.30157,103.8873
,1.34045,103.88428
,1.29897,103.84778
,1.3073,103.85953
,1.3001,103.84124
,1.31267,103.81389
,1.33692,103.76916
,1.31878,103.93942
,1.32736,103.91474
,1.32443,103.95398
,1.36285,103.97216
,1.329,103.91566
,1.31537,103.91429
,1.38694,103.8566
,1.38147,103.86872
,1.37451,103.81135
,1.35636,103.8604
,1.43652,103.77923
,1.44021,103.73547
,1.3897,103.86019
,1.4527,103.78012
,1.372,103.83453
,1.34389,103.88325
,1.39011,103.85224
,1.37992,103.83456
,1.37348,103.82986
,1.36898,103.88004
,1.43936,103.82696
,1.38826,103.85612
,1.38701,103.85751
,1.376,103.8325
,1.38426,103.86297
,1.35963,103.86387
,1.40567,103.82061
,1.38695,103.83507
,1.42023,103.71989
,1.45754,103.83698
,1.28044,103.84612
,1.28112,103.84142
,1.43762,103.83508
,1.31587,103.93143
,1.33302,103.94388
,1.32398,103.94639
,1.39927,103.87106
,1.38766,103.85675
,1.34678,103.88183
,1.32163,103.92158
,1.33904,103.95823
,1.34609,103.96034
,1.32428,103.94623
,1.39179,103.98634
,1.38199,103.8292
,1.311,103.92381
,1.31105,103.81625
,1.26576,103.80313
,1.43417,103.82265
,1.31701,103.93621
,1.31929,103.94138
,1.33434,103.92087
,1.38638,103.83832
,1.31032,103.91281
,1.3878,103.86841
,1.35722,103.86755
,1.33909,103.92681
,1.34711,103.8674
,1.39004,103.97588
,1.33589,103.77168
,1.34614,103.76678
,1.3233,103.79658
,1.32484,103.84273
,1.3124,103.8432
,1.27921,103.78895
,1.28942,103.8536
,1.36146,103.8473
,1.30338,103.88821
,1.30428,103.79037
,1.29718,103.88637
,1.29857,103.8942
,1.31615,103.84385
,1.3207,103.81792
,1.35827,103.82516
,1.32036,103.8407
,1.32113,103.83317
,1.2757,103.79208
,1.31365,103.88937
,1.27818,103.84669
,1.32914,103.87996
,1.27903,103.79019
,1.28238,103.83954
