school_name,address,postal_code,mrt_desc,dgp_code,zone_code,mainlevel_code
CANTONMENT PRIMARY SCHOOL,1    Cantonment Close,088256,Tanjong Pagar Outram Park,BUKIT MERAH,SOUTH,PRIMARY
CHIJ ST. THERESA'S CONVENT,160  LOWER DELTA ROAD,099138,"HARBOURFRONT MRT, TIONG BAHRU MRT",BUKIT MERAH,SOUTH,SECONDARY
CHIJ (KELLOCK),1    Bukit Teresa Road,099757,Outram Park Station,BUKIT MERAH,SOUTH,PRIMARY
RADIN MAS PRIMARY SCHOOL,1    BUKIT PURMEI AVENUE,099840,Tiong Bahru MRT HarbourFront MRT,BUKIT MERAH,SOUTH,PRIMARY
BLANGAH RISE PRIMARY SCHOOL,91   TELOK BLANGAH HEIGHTS,109100,"Telok Blangah, Tiong Bahru & Redhill",BUKIT MERAH,SOUTH,PRIMARY
KENT RIDGE SECONDARY SCHOOL,147  WEST COAST ROAD,127368,"CLEMENTI MRT, HAW PAR VILLA MRT",CLEMENTI,SOUTH,SECONDARY
TANGLIN SECONDARY SCHOOL,301  WEST COAST ROAD,127391,CLEMENTI MRT,CLEMENTI,SOUTH,SECONDARY
QIFA PRIMARY SCHOOL,50   WEST COAST AVENUE,128104,Clementi MRT Station,CLEMENTI,WEST,PRIMARY
NAN HUA PRIMARY SCHOOL,30   Jalan Lempeng,128806,Clementi MRT Station,CLEMENTI,WEST,PRIMARY
PEI TONG PRIMARY SCHOOL,15   CLEMENTI AVENUE 5,129857,Clementi,CLEMENTI,SOUTH,PRIMARY
CLEMENTI PRIMARY SCHOOL,8    CLEMENTI AVE 3,129903,Clementi MRT Station,CLEMENTI,WEST,PRIMARY
CLEMENTI TOWN SECONDARY SCHOOL,10   CLEMENTI AVE 3,129904,CLEMENTI MRT,CLEMENTI,WEST,SECONDARY
NAN HUA HIGH SCHOOL,41   CLEMENTI AVENUE 1,129956,CLEMENTI MRT,CLEMENTI,WEST,SECONDARY
NUS HIGH SCHOOL OF MATHEMATICS AND SCIENCE,20   Clementi Avenue 1,129957,Nearest MRT Stations - Clementi and Dover,CLEMENTI,WEST,MIXED LEVELS
"SCHOOL OF SCIENCE AND TECHNOLOGY, SINGAPORE",1    Technology Drive,138572,Dover,CLEMENTI,WEST,SECONDARY
FAIRFIELD METHODIST SCHOOL (PRIMARY),100  DOVER ROAD,139648,"One-North MRT, Buona Vista MRT & Dover MRT",QUEENSTOWN,SOUTH,PRIMARY
FAIRFIELD METHODIST SCHOOL (SECONDARY),102  DOVER ROAD,139649,"BUONA VISTA MRT, ONE-NORTH MRT",QUEENSTOWN,SOUTH,SECONDARY
ANGLO-CHINESE SCHOOL (INDEPENDENT),121  DOVER ROAD,139650,"DOVER MRT, BUONA VISTA MRT, ONE-NORTH MRT",QUEENSTOWN,SOUTH,MIXED LEVELS
NEW TOWN SECONDARY SCHOOL,1020 DOVER ROAD,139657,"DOVER MRT, CLEMENTI MRT",QUEENSTOWN,WEST,SECONDARY
ANGLO-CHINESE JUNIOR COLLEGE,25   DOVER CLOSE EAST,139745,Buona Vista,QUEENSTOWN,WEST,JUNIOR COLLEGE
QUEENSTOWN SECONDARY SCHOOL,1    STRATHMORE ROAD,148800,"REDHILL MRT, QUEENSTOWN MRT",QUEENSTOWN,SOUTH,SECONDARY
NEW TOWN PRIMARY SCHOOL,300  Tanglin Halt Road,148812,Commonwealth MRT Station,QUEENSTOWN,SOUTH,PRIMARY
QUEENSWAY SECONDARY SCHOOL,2A   MARGARET DRIVE,149295,"COMMONWEALTH MRT, QUEENSTOWN MRT",QUEENSTOWN,SOUTH,SECONDARY
QUEENSTOWN PRIMARY SCHOOL,310  MARGARET DR,149303,Queenstown MRT,QUEENSTOWN,SOUTH,PRIMARY
GAN ENG SENG PRIMARY SCHOOL,100  REDHILL CLOSE,158901,Redhill,BUKIT MERAH,SOUTH,PRIMARY
ALEXANDRA PRIMARY SCHOOL,2A   Prince Charles Crescent,159016,Redhill Station  Tiong Bahru Station,BUKIT MERAH,SOUTH,PRIMARY
BUKIT MERAH SECONDARY SCHOOL,10   LENGKOK BAHRU,159050,REDHILL MRT,BUKIT MERAH,SOUTH,SECONDARY
GAN ENG SENG SCHOOL,1    HENDERSON ROAD,159561,"REDHILL MRT, TIONG BAHRU MRT",BUKIT MERAH,SOUTH,SECONDARY
OUTRAM SECONDARY SCHOOL,3    YORK HILL,168622,"OUTRAM PARK MRT, CHINATOWN MRT",CENTRAL,SOUTH,SECONDARY
ZHANGDE PRIMARY SCHOOL,51   Jalan Membina,169485,Tiong Bahru MRT Station,BUKIT MERAH,SOUTH,PRIMARY
